sample_id,Set
0154bbc2-d6c7-487f-9b66-18526c4a97bf,train
015fbf51-d37c-4330-a4f9-6c4c8670cfe0_MALDI1,test
01610c8d-e7f1-44e3-9ffd-51936c9404fe,train
01638228-087f-4a02-bf99-66160f9e1971_MALDI1,test
01686d56-41fc-4fa1-8822-110195393e41,train
017f6aeb-7df4-4926-ba2c-b2f53b613b32_MALDI2,test
0181eb6d-2a39-4f35-ac25-dc2b6f75bc90_3312,test
01a07ff2-ce8a-49ea-bae8-61b488519c10_MALDI1,test
01a517c8-f751-443b-9ba7-6c770a598717,test
01a78333-0c0d-49ff-a8a9-b6620f82d5f4_3312,test
01b0c59d-ebd6-400d-9739-6ad41bb4be7b_3313,test
01b70287-04b0-4715-b382-4befd064ec97,validation
01cd988a-6eaf-495f-ac8a-5f95ccad1d73,train
01d008f3-cd7a-49a9-bc3a-da332da12291_MALDI1,test
01dc44a9-ea3c-4e06-bf16-40a30a54ecad_MALDI1,test
01f08b45-d245-444e-900a-0a81ce0b894c,test
01f65924-ba71-4618-88c5-af5d3f3f2099,train
01f873b5-079e-43e5-b17b-9b3bc6e35fc2,validation
01fbaa05-341b-457e-a795-b942554013f5,train
020fccc3-803a-4027-bfd4-0dd9593239db_MALDI1,test
0211dcec-753e-4b26-b9da-93ca407f979d_3313,test
0212e02a-ce80-4870-889d-d634b68063b7,validation
021328f2-9a4c-4e08-8c34-9e309a01538f_MALDI1,test
022af971-7feb-416b-88ca-6309f338f23a_MALDI1,test
0237819a-ca6b-46cd-8110-d1c60fd80174,train
023d7b94-0471-4bf0-ae8c-e29cce22af0b_3312,test
023eb027-b4a1-4fc4-8a84-7b34af7b336e_MALDI1,test
0241c592-c244-4699-a4ce-ac932a90e204_MALDI1,test
02421046-d69e-4a5d-8aac-31c173c6d733,test
026bfe25-dde4-45b6-aa19-3ed3e03fb554_MALDI2,test
02748f13-18ab-4704-ad2e-5b3971eab474_MALDI1,test
0288527b-1558-4394-909d-231d3f61b210_MALDI1,test
028ece4e-3bbf-4329-8e3d-38d72fdc6179_MALDI1,test
02a46904-e50f-4bad-acd9-99feb39370d6,train
02a47283-3d17-453e-b271-ea362afe4616,train
02a8c3c6-103f-4ceb-8573-1442ce1fc7fa,train
02ad184c-5b89-4a88-9713-57f22524868a_3313,test
02b6c044-7eb2-45cb-a42f-6fb9706a2384_MALDI1,test
02c33ea6-0caf-4c46-86cd-e50c3a752fcd_MALDI1,test
02c51a41-81fe-4498-a6ee-f93f2ca0a06f_3312,test
02c6c16f-c352-4f92-b953-91865f90c4d4,test
02c93182-f18a-4e49-a6f2-42493a049bbd_MALDI1,test
02cdc553-8908-4bf0-9a2a-b7bc206ec1dc_MALDI1,test
02cf7dfe-c0c0-46e4-8848-168ddb20a336,validation
02ddd349-9f34-4357-b9b3-ab3960793709_MALDI2,test
02f30403-8ab4-40a3-9c24-837e6f315d09,validation
02f3e9cb-456d-4700-a0f3-72853c35bffd,test
02fac801-6686-49bf-9865-a069358f3e85,train
02ff243e-b05b-4de6-983e-791e29b1b78e,train
0321711f-1e92-4a07-be80-3014093e3951_3312,test
032d7989-c976-4c24-b809-48d80c4f1571_MALDI2,test
033aa88e-e6e6-437a-a0bc-a209d662224f,test
036f7403-9557-4ea7-84d2-e6d7f7e4a00b,test
037d7934-5723-494f-a29e-7ce6e674d8f9,train
03844683-d6d8-45e6-a8bf-fd113e1c47eb,test
0394bb1a-b1c3-4dcb-9283-ca993e1c0230,train
03999a9b-966e-4181-abb7-dcd16b4ff6ed,test
03a1eff5-09bb-4a48-968a-1b4ee212b20a,test
03a95a6e-76cb-46de-b3a0-4f091b7d53cd,train
03c2cb17-93cd-4374-913d-11aa1d8a860d_MALDI2,test
03c5aaad-64e3-4f0b-9bbf-c16f5766cc01_3312,test
03c5cac5-9c08-4e89-9043-f9b466e5601b,test
03cf4dcb-93a7-4cd9-8fb6-3a9acc20b56e_MALDI1,test
03ede68e-d1e0-4535-8c59-77522e49b99f,test
03ee2e8a-2dea-4cab-a4ad-4335b45b1007_MALDI2,test
03f22188-4202-4d5f-b43b-c3f6da79fb86,train
03f236e1-38da-4512-9546-fe95300eb45d_MALDI2,test
04006c0c-1506-4dd7-aace-2496b2bc86ba_MALDI1,test
040183d4-2da4-49af-a42e-2c2e4d93841b_MALDI1,test
04067cf3-d6ac-4434-b190-96a961a66666,train
041068bf-39cf-4d03-b038-2f36589ed46a_MALDI1,test
0418a583-520d-4e05-a908-37c4584fcbae,train
04354602-e050-40b1-a222-01bb9efd16c9_MALDI1,test
044dff67-8f7d-4326-a17d-c140adde84f4_MALDI2,test
045309b6-4151-42c2-b4da-2965338b8b6a,test
045560d5-fe1b-4560-ba6e-805c33096cf5,test
0472f418-66ee-42a6-97bd-18a6d2b9e788,test
0474e8ac-8540-48d0-9d87-22d14e0cbcb4,train
04799d35-3076-4565-967c-d770b0f935e3,test
04802238-e532-48ff-b41f-d87aa2d6a99a_MALDI2,test
04918a41-669e-42ba-aa77-8a750b5f33cb_MALDI1,test
04a10fd2-cfd1-4031-b9dc-713233ef865c_3313,test
04afa1ae-8ec8-4109-8bd4-436596417eef_3312,test
04b465fe-b9b2-4c96-b767-a7a57b361c5c,train
04bd881a-6f08-4365-a00e-006f6262ce02_MALDI1,test
04d970b1-d4de-44ec-8274-d8f33876691e_3312,test
04dccac8-d2e4-452c-9a6f-5052b96e11a3,test
04e02215-4dbe-4080-9dec-4d5cdcdf05bd,test
04f11af7-e7a4-40df-9803-f1b246b2076e_3312,test
04f2eff8-f731-480d-86be-d96e0879bbfb,train
04fc22c6-be4f-4094-bc49-dae8272085b3,train
04fd949c-7780-4a19-87f3-d7c70f8c045b_3312,test
05011efd-a254-4633-9190-cf6a2d964f6c,test
05073aa2-53f7-4941-a118-6674c5749d75_MALDI2,test
0507abb1-a0e0-47e4-b441-36aedddf45e3,train
050db8bd-82c1-449d-b5ca-d63ed6885281,train
0513f908-3b4c-49b1-be78-082dd8cbdb5d_MALDI2,test
0527af15-2d0f-4e8b-b49f-ef0232db70a0,train
053817d0-234b-4da4-9f8e-55a04ab84071,train
053a0efe-7e11-4842-b792-526ee33c9e77,validation
053d5ed3-4919-4503-aade-1dc7e28edaec_MALDI1,test
05544b55-03cf-4b01-a67a-16239e0f2092,test
05549219-60c7-47aa-aa20-b056bf2af4e4,train
056022c7-82a3-46bf-8725-0f3f9807660f,train
0562259a-7bc7-414e-a75b-f44d812e5119,test
056dee56-db05-4111-8db3-018485dc5323,validation
0572311c-f852-41f7-8afa-da42288c62df,test
0585e3f5-1300-4f98-bd15-40c87f10c4bf_3312,test
058f3937-75e3-412c-b95c-6dbcee5c96c3_MALDI1,test
05910144-dfe0-400c-b01d-ff7e4d285b8a_3312,test
059b4732-b741-454c-a2f5-c5064e7812fd,test
05a39670-6bcd-4619-8238-d6f03c8802c5_MALDI1,test
05a93e02-74eb-4c39-8b5b-3d9c54b8707a,test
05ab6440-088e-4923-98fb-a050044dbb56,test
05b4904b-4293-4fd2-87ad-047d0c0f9336,test
05bbff96-643e-4644-aedf-8e0fc2c7ed16,train
05be14cc-85d3-446b-88fc-54fcd90da5c0,train
05c05fd5-6a42-47e1-9d74-2631d1085bd3_3312,test
05c1fd9e-6f95-48aa-a465-19fcd98a08b9_MALDI1,test
05d99fe0-e205-4550-a43e-3d1ce16e82f7_MALDI1,test
05fd6344-29bf-41ef-9476-b5d0792fa5a0_MALDI1,test
06039dec-7ddd-4d65-8f6c-18379311d536_3312,test
060b131c-1305-40b1-a8ab-67594e4b8708_MALDI2,test
061dc9fd-c34e-4381-9534-4cb7b04cbbbf,train
06301aeb-1f56-4dab-9a9b-e9de10c1c716_3313,test
06449bc3-0689-4713-afc8-3b8a8364cb52_MALDI1,test
0645e530-758b-47b6-aeb8-2d50ca014542_3312,test
064939af-4158-4d1c-b9fc-86cfdda5ca10_MALDI1,test
06616352-a452-49d8-9ca2-27437f98eaf4_MALDI2,test
066bfe5d-2361-4bb2-8c79-3bd79bc3d0a8,train
0672e1a0-2a25-47b5-b388-2957a1680dcf,train
067a03d8-9829-4b01-ba29-61558814a563,test
067eced0-b8fb-4682-bba1-22bd4abec825,validation
06844f2f-b6ec-48d4-b595-686df653f446_MALDI2,test
0694d627-ee69-4118-bbf1-f3417d650792_MALDI1,test
0697c4d3-57f6-4102-94e2-311cb4f6b859,test
06ba9654-3e91-4598-bcc6-81ae50abdb3d_MALDI2,test
06c5f62a-186d-4039-991f-905610027a76_MALDI1,test
06cd797f-6cf2-434a-9da3-876b6e065ed1,train
06e6d7b1-83b6-4d32-bf6d-ab141cd4dfc9,test
06e8abf4-3210-4e7e-9180-2ae1ba0116a0_MALDI1,test
06f1578f-4f8a-4805-8262-81b24e7fa444,test
06f9cbf8-c110-4874-a49d-7e0081c40ca9_MALDI1,test
06fae763-8133-48a0-93f0-f0a01ae0e453,train
070045c0-1cab-43d2-83ac-09a2c5d7dbf8_MALDI1,test
07114b06-fcb3-49e4-8c16-46f2227df57d_MALDI1,test
0712c98e-48da-4662-bc38-ed0b74571953,train
07242b59-b6e5-4ae6-95e9-57fae3ef6df0_MALDI1,test
073cd827-743a-42b7-a61f-39703cc34fe7_MALDI1,test
0749c57b-9132-4cff-97cf-fce44acb86ab,test
075758bf-15b7-40f3-9b2c-88bb3eaed6ea,train
0758c68a-3e04-4852-89b2-2093c3a5d7e1,train
075d006d-69ec-448e-84cc-17c3f414768a,test
0761bbe5-3e45-4f78-a488-021b04f7a0e1,train
07672964-515f-4ca3-9ca1-ec6a8ac02030_3312,test
076defad-a904-4674-9b52-8daa1c9f1a21_MALDI1,test
07741ba9-88f2-40a9-acdb-9b608ff4ce17_MALDI1,test
0776a5a6-39a7-4492-a48d-df39b5846e29_MALDI1,test
0777ddd8-40d9-46b3-8494-21ece79b30ae,test
077d35e2-c061-4b5a-bd19-863a71ddf816,validation
0782a730-1852-405d-9235-803e6acde712_MALDI1,test
0794dd8f-2cfe-4795-ad6a-0fc86d3f6f57,test
07a2653c-5a86-4f97-ad21-ec6f28d22baf_MALDI2,test
07a575fe-a280-4f6d-936d-ff34bb8ed104,train
07a5bf31-56ff-4e11-979c-e621d48db6ca_MALDI1,test
07bd5328-fdc4-4f36-9dcd-3a233e71d7a3,test
07cd8053-d377-464c-9196-ddfc115e8da2,train
07d905be-cbf9-43e5-8718-37893993ce5d,train
07e20867-1151-40dd-b428-176092d84dfe,validation
07e4ac3d-7ca2-4d12-b15e-d30e58805210,test
07edaf8d-7ada-4289-8cfb-bdd91bcfc87e,train
07f27c85-3805-48d5-acec-fa8fae5db924_3313,test
0807759e-e6f8-4ea9-baf4-4bb8e6d084e0,test
080c00f8-1a1a-41ff-8bab-72728bfb413c_MALDI1,test
08179b0c-b3f0-4ad7-bb9c-406c0cfc611a,test
081e374d-889a-4f88-b298-6fa1501b5ce8,test
082b9fcb-de21-4b00-bc02-e9f5e6c4aa3f,train
08346906-d120-47ed-af26-19ce70017358_MALDI1,test
083eda11-d500-4af3-a8aa-3c91c294c8fa_MALDI1,test
0841d92b-51d4-4fcb-8f3a-e7bfed74f7fa_3313,test
085576c0-b863-4744-b7fb-3df02d1ab678,test
0884d1ed-ceb9-4cc1-b41e-caa7084b83b4,test
0886b487-35af-466f-a75a-e9e5cfa7f439,test
08a07a8e-b938-4af0-9877-b05e72b1a0b7_MALDI2,test
08adb0cd-4d0d-452d-8d5e-1822d3d3525f,test
08bc4c3b-686b-44fc-aa78-15b56799a51e_MALDI1,test
08cd18f7-e933-4a35-afc7-804fcf7f71f5,train
08d9c499-054b-4635-b2fa-1c76be161f29_3312,test
08ddff10-c9d4-43c1-9ad2-9175fe44f6b7,train
08e224f6-6811-46c8-b465-be7674c859d3_3313,test
08f574cd-aa5d-46b4-867d-3b1e739ebdce_MALDI1,test
08f663ce-31f1-4db9-b904-efd304c597c9_MALDI1,test
08f80e3f-c633-48b8-9b58-6b073309ee5e_3313,test
08fe3876-ecee-4ddc-9aa9-a84f605757f7,test
090a5a48-5bbe-44f2-8b2d-77e8868ff3b5,train
09256a43-9a2d-416d-905e-b11d64475550_3313,test
093a3aeb-1232-4113-8f90-5a063b8e8d79_MALDI1,test
093b90da-3259-487d-8d19-f8bdd138ba95,train
093c8409-5b30-4681-b7b7-27cc3d6fb82c_MALDI1,test
0948fc4e-c3dc-41a6-ae8d-d968fa025595_3313,test
094a1262-2f16-480d-babb-18b4c4b01f99_MALDI2,test
094b79ea-7cdc-438d-af7c-152e2a5501cf_3312,test
0958e229-6b6c-409d-bb73-2d505d455c08,test
0983b68f-f595-4898-884c-f228d14c914d,test
0986b234-18c7-4206-a304-28812ecdd6ee_MALDI1,test
0991ed8c-e43b-4fed-9dfc-82b02bdcbbe7_MALDI1,test
0992b5d3-be9f-4def-8a37-d745b8038b8f,test
0992fc43-2809-4fee-b287-a95f5be1c92b_3312,test
099e97a4-4986-4e69-8c44-5c1fb5cf51f8,test
09ad6558-f5a1-4412-bca7-0fa5948a3ba0,train
09ae3fe2-6ef4-45f6-93a8-fad8e907fc19_MALDI1,test
09b3c6dc-ea38-4141-b6f9-42a686f61784_MALDI1,test
09d6cae3-01a0-4fe8-b50a-470be5d64002_MALDI1,test
09d83aee-cb0e-45fe-b311-300f7e4bd6fc_MALDI2,test
09e730f3-6d86-49d5-86f9-050e6a373e20_MALDI1,test
09f44b18-76d8-49e5-b881-5b50b2d77e3d,validation
09f6b7e9-8163-433f-a09a-031bde00f851,test
09faa676-9377-4136-b814-9e4778b7e156,train
0a284337-0509-4ea0-93c4-5dab0f499412_3313,test
0a293a00-44e6-46d4-887b-6568c4868a62_MALDI1,test
0a297628-a6ae-49c3-9f4b-341e422be1cd_3312,test
0a2b10df-e99d-42e1-8dc2-18d30f0b53ad,train
0a2e2eae-f599-448b-b0cb-9c5f1f21c892_MALDI2,test
0a3398c2-d744-4f3a-8367-0aa0fb496e88,train
0a3efb4d-1a27-4a08-9800-2e6f9d0ae934,test
0a45b80c-0212-4cc3-b15b-55b669d894e2,test
0a49ab06-64fd-4494-8d74-8acac9c7b1ba_3312,test
0a4ff55a-2616-426d-90c8-05df392d3494,train
0a526f4d-db88-4b79-9405-9f5a054fcdde_3312,test
0a65472d-6804-4830-af8d-17f38ba2a8c6,test
0a70a669-b843-4524-b127-5d455c2fe5b3,validation
0a74266f-de70-4a11-99b6-d87dcead25d3_MALDI1,test
0a8a3816-605b-44bb-85db-208195408190,validation
0a8f7b3c-2dfb-4f13-a523-dec9f0e7a3d9,train
0a971d4a-6469-4c21-afb3-adccc7472d5b_MALDI1,test
0a97fc40-1aec-4872-a5a4-29e160a80272,test
0adb6256-abd9-4c70-a1d6-59bab361419b_3312,test
0af02353-1a81-489e-a36f-ed50099bcab8,test
0af71b3e-1d76-4524-9e1e-aed81e57179a,train
0af75b92-716d-4602-9add-cc978a9c3a66,test
0afc9c60-c053-4399-abad-335e4deb6531,test
0b06e5b1-70a7-4b8b-8011-2a31be45952a,test
0b10531e-8844-48c8-a4b5-c9b509811179_MALDI1,test
0b11a853-8592-4b9c-ac2e-6a2886384ffa,train
0b26c463-4566-4da6-9a53-f32b5780c90d_MALDI1,test
0b27e99d-2b0a-4dfc-83b4-d77058513f4b,train
0b360a8f-bfe9-47a2-a4d1-5eba80947023_MALDI1,test
0b363df2-161b-4179-b491-3ea27f8f8c36,train
0b398b94-62b7-4e44-8e1c-deba13157f86,train
0b43798e-f58d-45a6-af56-360e48b45574,validation
0b467e77-b45b-40d7-aee2-9fc8579f0b11_3312,test
0b49ed15-3625-4449-a0fe-9f268339bb86,train
0b4e6266-6757-455e-a994-414f2a203bdd,train
0b4ee60b-6db9-4af1-9802-05be7630c36c_MALDI1,test
0b5124f4-5b1b-47a2-83f1-e56f85c448e3,train
0b56972f-280d-43d6-b9bc-83b275ad080b_MALDI1,test
0b5cdd3d-77f6-416f-97af-245313f46e56,train
0b6553a0-2d9b-4288-8b34-b5cb566bc6d7_MALDI1,test
0b72dd1b-f31f-4936-9f74-fed733a5e9e7_3313,test
0b7344b2-33b2-48ed-b5d8-9f37d317b88a,test
0b7a3ffd-d0d5-4a58-8566-313f2af58e53_MALDI1,test
0b7ea0a0-5552-4bbe-8418-141c24475d19,validation
0b8e3295-48db-4f93-acda-1653da2eae63,train
0b995ef8-1bf5-4578-8bb9-6a4d8daf8fa6_MALDI1,test
0b9ddb1c-5634-42a8-881e-1a5eeea18d1c,train
0ba02531-ee49-42fd-b8da-ce1eddef608e,test
0bab5fe8-e135-4935-b592-cbf2e624ddd0_MALDI1,test
0bb46202-5140-4904-b3f0-e100eb06fdda,test
0bb8f386-980a-4eee-ada6-d984ad064167_3313,test
0bdaaaf4-eef7-41ee-b0ad-a2fc9d8781f7,train
0bf2a26f-434a-40d8-8b44-6ab1f6cf5939_MALDI1,test
0bf301f1-a4d3-4140-b095-577103893a7f,test
0bfb4c8b-5d23-4f90-9dff-7e76ce75d2dc,train
0bfe2d0a-3f21-4b4e-a995-be410f1f92dd,test
0c0651f7-a062-4bc4-a4ad-e3c59fe7b669_3312,test
0c13c67e-35a7-489e-ada9-417ebc344ee1,train
0c181662-e947-442e-93e7-eaf4865468d7,train
0c24ba28-cfe2-480e-a145-ab3920347897_3312,test
0c2c4d3f-6349-416f-b555-127830a65877,test
0c2c664a-ced6-4ebb-9a72-c235e892dd6e,train
0c3be60e-1e88-42d1-abf9-22debaf7d016_MALDI1,test
0c3d8336-4e3b-4911-8222-e0cdc2c62d51,test
0c3e21b6-7837-473c-a61c-9acd324a12b2_MALDI1,test
0c42cccb-26c1-44df-852d-b4a62747a3e4_3313,test
0c5abcd6-ac01-4827-b276-cbcb798a5520_MALDI1,test
0c5de248-d10c-46b6-ac4d-31366cfc1a37,train
0c7561bf-be2c-4db6-be1e-f64e272457d7_3312,test
0c77a7a6-ab6d-4427-a496-f1cd5f34486a_MALDI2,test
0c79fb63-66a6-4972-80ae-d4e3ee81124e_3313,test
0c8026cb-92b3-4aae-9885-91e0ba49d3c4_MALDI1,test
0c82a514-9715-42f9-87b7-e69f507c5274_MALDI1,test
0c832adc-7cf9-461e-9a31-0e61f0c0f0fc,train
0c8a747c-4568-46d0-af24-cb2eeff03605,test
0c9175a4-1b11-4a44-ad81-ce1a68163e5b,train
0ca5e8e9-8fa4-4bcc-b8bf-41772c00b4a6,train
0ca6bbbe-af47-482e-8de0-a378004686b5,train
0ca7c83a-d90e-4d7d-b584-456788615ce0,train
0caadd6d-f0a1-4567-ae28-c9af3594a98f_3312,test
0cada484-0c0a-48af-808b-52e5f6568a5d_MALDI2,test
0cb8e747-d6d5-44a9-92c2-6f7472d95abb,train
0cbddb90-ef9f-4c5e-8a93-7f815ece4f97_MALDI1,test
0cc9ba59-18fc-4646-bc37-4a36a43d6b66_MALDI1,test
0ccee044-8178-49f6-a303-c69da5c4b04f_3312,test
0cf563b2-0352-48f0-89d1-f22fc972d418,train
0d035f03-350c-4a9c-9636-6a78a55b218e,train
0d224c8e-92c1-4dc5-a341-693ceb194e3e_MALDI1,test
0d22ad26-256f-4aed-bbb2-0ea92ebe33dd,validation
0d2dc867-f2bd-41b1-9834-4be1996dd089,train
0d39da7b-713f-4ceb-9714-750803b8c131_3312,test
0d3ae589-45ca-46b6-a42f-2909dbbb3d88,test
0d3d6293-ffb3-4129-a9ab-36c41c441e20,train
0d419338-9c0c-4eca-862d-1c4d6c019542,test
0d50c93a-7dbf-404f-a6ee-0159d5becb2a_MALDI2,test
0d5b217f-7630-4820-b01c-626058dc5976,test
0d5d47a0-bf7f-4cbb-a68b-e286a9035a4d_MALDI2,test
0d6413b7-59f1-40cf-bd6e-cfbf26063aee,train
0d65a93f-b4b1-4fbd-98ce-eb79c73353e4_MALDI1,test
0d68ca3d-b9d5-4e58-a4a1-16a77c1f10d7_MALDI1,test
0d6ba9bb-fe3e-4928-b75b-b8a156ad2c6c_MALDI2,test
0d6c834f-49a6-4047-aa8a-38cc54948f98,train
0d82bf1f-da50-4b8b-9ca1-3eac80f0dcf1_MALDI1,test
0d86dd77-b986-432f-8ce3-a54d531f4eac,test
0d8d4f73-dde8-40fd-b0c3-ed5ed5738b0a,test
0da028f0-a660-4153-bb02-6d2d5d30284a,test
0da0d9bd-235c-4e0e-a44e-5ae839eecce2_3312,test
0db6caf3-3b65-45ae-bf0a-aa289f2955af_MALDI1,test
0dc00e2e-4a8a-42c2-82e9-c6ef27471544_3312,test
0dc2fd20-0c7e-4965-bb99-c2dba84207ac,train
0dc60ae1-3b49-4095-90c4-f22c7c69f747_MALDI1,test
0dc8fbf4-a7c1-4033-badf-26ade03863af_MALDI2,test
0dcae9bc-b923-4519-aa9b-8cf730730601_MALDI1,test
0dccf039-6162-4dbb-87ab-183ae4fa8180_MALDI1,test
0dcd227a-80f2-4262-8fad-a4658268adb1,train
0dced203-09ee-4262-a2b3-06bad417f5c5_MALDI2,test
0dd7fe87-30f4-4faf-bc40-f59ef1247a14_MALDI1,test
0dd93397-f2f4-4462-9c29-e9613337d060_3313,test
0de10516-ed51-492b-8729-9e975ba35542,test
0ded5f0b-3ace-4514-bfe1-95c5ba3af071,train
0def86aa-7c46-437f-a633-30d39847eb59,validation
0dfd9b31-5a0d-4631-b90a-5978af6e410a_MALDI2,test
0dff8539-4c26-4834-bcc5-a763cf70e954_3312,test
0e0c36e8-572b-4605-80bd-0b053c7f51fd,train
0e128114-b152-4e53-b04c-472a6599dfbe_3312,test
0e279b1d-87cf-445d-bf8a-af812d8e25dc_3313,test
0e32e094-c263-463e-9ce4-f440ebc21071,test
0e331962-019e-4ea1-a83e-3e635fb4c944,train
0e3e9d7d-27fd-4eb8-9978-fa8e97fb3c23_MALDI1,test
0e415828-f954-4892-aba4-0c453bd56234,train
0e4393d8-53d2-4f73-8164-35b837ba0831,train
0e45d785-226a-40da-a1a9-bb938b63172f,validation
0e60375a-dab9-4c0d-ab64-e35a7280e11b,test
0e62cebc-cf0c-40e3-a8a6-5f923c347a37,train
0e6a955d-6d39-4b11-b993-b67029b9be1b_MALDI1,test
0e6e9ecc-8718-4cda-ac56-ae161e12292e_MALDI2,test
0e727522-2012-44ac-aab1-d4d5a77cda60,test
0e774275-18e3-4207-b337-e598c8a094e4,train
0e7f4a49-133a-4a13-9680-26feb75fe6f5_MALDI2,test
0e809adb-1249-4e87-a32f-f41e4d173836,train
0e83f998-2f0d-4b20-baf5-096d148c145e,train
0e8ce4e7-4848-4360-8118-aa7273d7f662,train
0e98ebbd-9905-497a-a5b8-0102f1886345,validation
0e9deb93-f299-4505-a468-e2d948edfd9a_MALDI1,test
0ea1e4ed-95ea-4427-8b75-6d3725ad1649,train
0eac282d-9d40-440d-be72-6af7f786828d,train
0eb65fa9-1ce3-4245-b86b-25c9d5f4e805,train
0ebfd764-881c-495a-90b3-600bbf4f31d2_3312,test
0ed39ced-b692-4d7d-a951-c1a158180370,train
0edb8504-fe3e-497b-95e9-6604d1d36b7e,train
0edf29a5-eb6e-414f-9c0f-4be341b55c81,train
0eeded3b-a19e-4130-93df-c954f649aedc,test
0eef1ab7-4425-4383-b40a-55ae1768e924_3312,test
0efe1c0f-8417-42c7-92a5-d31d04336732_MALDI1,test
0f07281c-f2c2-44ef-acb8-30f190e63f36,test
0f1e3dc5-b154-4d82-beb5-983e898603bb,test
0f22f71d-143e-4166-9eb8-9099a3f94614_MALDI1,test
0f376b9a-f863-418c-b1c9-121d17ddb851,train
0f3f4ac5-d43c-4541-b11b-4cc7eb0d85fc,train
0f43dc10-b127-44a3-b0cf-11844ba12422_MALDI1,test
0f4db1ed-de0b-44e6-8bf0-b181af532484_MALDI1,test
0f51f2e9-9f16-43e4-9f6e-b0545c2a9f0d,train
0f555b3d-b543-4168-a955-787cd5a2d0a9,train
0f58b062-3537-47c9-9789-fde082de80b5_MALDI1,test
0f6b2b62-e498-43a8-baf8-b163b87ec715,test
0f6bcd48-1a6b-4bbb-baaf-f6febdd12117_MALDI1,test
0f70fd7d-a843-4b21-bf26-afcfef831671_3312,test
0f7155bc-b933-4706-9bbd-79cfb2dfff16,train
0f777283-5d1d-420b-a410-f288e1a90cf1,test
0f8d6998-6023-4b86-9bda-4440ca8b14c5_MALDI2,test
0f96aec2-13d6-4e78-93a9-43afc27d9f61,train
0fa3ae58-385c-4304-a8ba-3436629e66ec,train
0fa73307-a04a-4d55-8dde-064aa071ca3b,train
0fa7e7af-3eb7-44af-b516-3a89751bfe8e_MALDI1,test
0fad9659-e044-419c-8001-016c8cc88207,train
0fbcb3dd-a6d0-4087-bbf4-7d90bf1bc86d,train
0fc6a740-0e59-4a1d-8555-cc372b4dd6c4,test
0fd4d1eb-54e0-46d2-9dcc-ac8e044a93ff,train
0fd4fd1a-8233-400d-bdee-f0c13819dc6b,train
0fe66119-8210-4264-b003-df94bd31d403_3312,test
0ff36e83-a22e-42b2-9feb-5a40228c073d_MALDI1,test
100601c2-99cd-4213-9626-558e45a74c06_3313,test
10090ede-c4d4-414d-b304-b604642554c0,test
100bb673-4f8f-4bde-a829-5223a6842597,test
101681aa-3964-46e0-a2ac-56d74f663961_MALDI1,test
101c01d9-d6d8-4fec-9d17-9100162e71c5,train
1023f679-35e1-4432-9377-228b9f323b1b,test
10262191-f447-4755-ac7b-de59a4a654a6,test
102c5603-36e0-4bda-9681-b6f6206be85e_MALDI2,test
102e6c8d-787f-4f88-afcd-54ef6890f49a,test
